"MyUnknownColumn";"MyUnknownColumn_[0]";"Project_name";"Area_In_City";"Developer";"Possesion_Details";"3BHK_Carpet";"2BHK_Carpet";"Ratings";"2BHK_Prices";"3BHK_Prices"
158;1;"Adarsh Tropica";"Choodasandra";"Adarsh Group";"Possession in 2027";"1200 - 2045 sqft";"976  sqft";7.0;8000000.0;9500000.0
159;2;"Casagrand Meridian";"Bhattarahalli";"Casagrand Builder Pvt. Ltd.";"Possession in 2024";"1034 - 1272 sqft";"788 - 805 sqft";7.0;11700000.0;8700000.0
160;3;"SNN Raj Bay Vista";"Kodichikkanahalli Main Road";"SNN Arjun Builders LLP";"Possession in 2028";"2123  sqft";"1242 - 1763 sqft";4.0;10300000.0;17600000.0
161;4;"Ma Sarada Upavan";"Bommasandra";"Ma Sarada Constructions";"Possession in 2024";"2500  sqft";"2000 - 2025 sqft";5.0;30000000.0;35000000.0
162;5;"Govianu Sangam";"Yelahanka";"Govianu Wealth Management Pvt Ltd";"Possession in 2023";"3745 - 3746 sqft";"2762 - 2770 sqft";7.0;38300000.0;52000000.0
163;6;"Happy Village";"Sarjapur Road";"Cleartitle Properties";"Possession in 2027";"1032 - 1068 sqft";"3891 - 3893 sqft";10.0;40800000.0;6200000.0
164;7;"Purva Zenium 2";"Kempegowda International Airport Road";"Puravankara Ltd.";"Possession in 2025";"750  sqft";"1248 - 1338 sqft";9.0;7500000.0;6000000.0
165;8;"GM Govianu";"Seshadripuram";"Govianu Wealth Management Pvt Ltd";"Possession in 2027";"959 - 1087 sqft";"766 - 7881 sqft";8.0;7880000.0;10500000.0
166;9;"Puravankara Purva Meraki";"Hsr Layout";"Puravankara Ltd.";"Possession in 2024";"1525  sqft";"1265  sqft";10.0;7500000.0;9250000.0
167;10;"SNN Raj Viviente";"Bannerghatta Main Road";"SNN Raj Corp";"Possession in 2024";"1525  sqft";"1265  sqft";8.0;7500000.0;9250000.0
168;11;"Bhavisha Bentley Goldberg Phase II";"Sarjapur Road";"Bhavisha Properties";"Possession in 2027";"1525  sqft";"1265  sqft";3.0;7500000.0;9250000.0
169;12;"Sowparnika Olivia Nest";"Anekal";"Sowparnika Projects &amp; Infrastructure Pvt. Ltd.";"Possession in 2025";"1525  sqft";"1265  sqft";2.0;7500000.0;9250000.0
170;13;"DSR Green Waters";"Varthur";"DSR Group";"Possession in 2024";"1525  sqft";"1265  sqft";8.0;7500000.0;9250000.0
171;14;"Vijaya Luxo";"RR Nagar";"Vijaya Enterprises";"Possession in 2025";"1525  sqft";"1265  sqft";1.0;7500000.0;9250000.0
172;15;"Brigade Oasis";"Devanahalli";"Brigade Enterprises Ltd.";"Possession in 2026";"1525  sqft";"1265  sqft";9.0;7500000.0;9250000.0
173;0;"Engrace by Modern Spaaces";"Sarjapur Road";"Modern Spaaces";"Possession in 2024";"1530 - 2091 sqft";"1307 - 1337 sqft";5.0;6860000.0;8030000.0
174;1;"Adithi Elegance";"Gunjur";"Adithi Projects";"Possession in 2024";"1009  sqft";"802  sqft";0.0;5500000.0;8000000.0
175;2;"Pavani Mirabilia";"Whitefield";"Pavani Group";"Possession in 2025";"843 - 1570 sqft";"664 - 7010 sqft";1.0;7000000.0;8750000.0
176;3;"Trendsquares Ortus III";"Hebbal";"Trendsquares Constructions";"Possession in 2024";"1000 - 1500 sqft";"780 - 810 sqft";5.0;8150000.0;9180000.0
177;4;"Sizzle Midtown";"Kaggadasapura, Indira nagar";"Sizzle Properties";"Possession in 2023";"880 - 1250 sqft";"800 - 1200 sqft";1.0;10300000.0;10500000.0
178;5;"Zen Indraprastha by Pratham";"Yeswanthpur";"Pratham Constructions";"Possession in 2023";"1922 - 2100 sqft";"1120  sqft";1.0;15000000.0;24000000.0
179;6;"Sobha Insignia";"Bhoganhalli";"SOBHA Ltd.";"Possession in 2026";"1200 - 4200 sqft";"2403  sqft";6.0;1170000.0;19000000.0
180;7;"Odion Woods By The Lake";"Sarjapur Road";"Odion Builders";"Possession in 2023";"2617 - 2750 sqft";"2259 - 2681 sqft";2.0;21900000.0;2400000.0
181;8;"Needs 3 project 168";"Horamavu";"DS &amp; JAKS Constructions";"Possession in 2025";"646 - 1150 sqft";"601 - 2400 sqft";10.0;5700000.0;8900000.0
182;9;"Laasya Canopus";"Bommanahalli";"Laasya Projects Pvt. Ltd.";"Possession in 2024";"633 - 718 sqft";"1100 - 1400 sqft";5.0;6500000.0;9500000.0
183;10;"SNR Brienz";"Attibele";"SNR Homes";"Possession in 2025";"633 - 718 sqft";"1100 - 1400 sqft";9.0;6500000.0;9500000.0
184;11;"Anugraha SR Serenity";"Soukya Road";"Anugraha Properties";"Possession in 2026";"633 - 718 sqft";"1100 - 1400 sqft";10.0;6500000.0;9500000.0
185;12;"BSNL Urban Greens";"Devanahalli";"Bluebell Global Shelters";"Possession in 2023";"633 - 718 sqft";"1100 - 1400 sqft";5.0;6500000.0;9500000.0
186;13;"SBR Earth and Sky";"Whitefield";"SBR Group";"Possession in 2024";"633 - 718 sqft";"1100 - 1400 sqft";2.0;6500000.0;9500000.0
187;14;"Pride Vatika Phase 2";"Bannerghatta Main Road";"Pride Group";"Possession in 2026";"633 - 718 sqft";"1100 - 1400 sqft";3.0;6500000.0;9500000.0
188;15;"Casagrand Hazen";"Gottigere";"Casagrand Builder Pvt. Ltd.";"Possession in 2026";"633 - 718 sqft";"1100 - 1400 sqft";0.0;6500000.0;9500000.0
189;16;"Brigade Horizon";"Mysore Road";"Brigade Enterprises Ltd.";"Possession in 2024";"633 - 718 sqft";"1100 - 1400 sqft";1.0;6500000.0;9500000.0
190;0;"Kumari Nautilus";"Koralur";"Kumari Infra Homes Private Limited";"Possession in 2028";"686 - 699 sqft";"2487 - 3314 sqft";1.0;20900000.0;7300000.0
191;1;"Prestige Serenity Shores";"Whitefield";"Prestige Group";"Possession in 2027";"1399 - 2008 sqft";"1260 - 1294 sqft";8.0;13600000.0;15000000.0
192;2;"Provident Ecopolitan";"Bagalur";"Provident Housing Ltd.";"Possession in 2027";"600 - 800 sqft";"2667  sqft";8.0;29000000.0;3500000.0
193;3;"DS Max Sky Sanjeevini";"Tumkur Road";"DS MAX Properties Pvt. Ltd.";"Possession in 2027";"1200 - 1500 sqft";"900 - 1100 sqft";2.0;5500000.0;7500000.0
194;4;"Sri Balaji Serene";"Yelahanka";"Sri Balaji Structures";"Possession in 2024";"1286 - 1425 sqft";"931 - 1171 sqft";10.0;3260000.0;4500000.0
195;5;"Prominent Chourasia Revanta";"Krishnarajapura";"Prominent Infra";"Possession in 2024";"1450 - 1933 sqft";"1158 - 1381 sqft";5.0;5790000.0;7250000.0
196;6;"Birla Trimaya";"Devanahalli";"Birla Estates";"Possession in 2027";"1345 - 1550 sqft";"1150 - 1245 sqft";9.0;6610000.0;7730000.0
197;7;"RR Wish Tales";"Jakkur";"MSR Infraa";"Possession in 2027";"769 - 819 sqft";"489 - 516 sqft";5.0;5000000.0;7800000.0
198;8;"LAVIVANT";"Sarjapura";"ATCO PROJECTS PRIVATE LIMITED";"Possession in 2026";"1242 - 1327 sqft";"945 - 1156 sqft";0.0;9700000.0;9540000.0
199;9;"Prestige Park Grove";"Whitefield";"Prestige Estates Projects Ltd.";"Possession in 2027";"1760 - 1833 sqft";"1364 - 1619 sqft";1.0;10600000.0;13900000.0
200;10;"Elegant Hermitage";"Uttarahalli Hobli";"Elegant Builders and Developers";"Possession in 2025";"2507 - 3997 sqft";"2572 - 2709 sqft";9.0;15400000.0;15000000.0
201;11;"Sarang By Sumadhura Phase I";"Whitefield";"Sumadhura Infracon Pvt. Ltd.";"Possession in 2026";"3739  sqft";"658  sqft";10.0;6100000.0;9500000.0
202;12;"Aurum At Brigade El Dorado";"Bagalur Main Road";"Brigade Group";"Possession in 2027";"2133 - 3500 sqft";"1400 - 1837 sqft";4.0;14000000.0;21000000.0
203;13;"2 Oakland Estates";"Devanahalli";"DEAMANTE PROPERTIES";"Possession in 2024";"1175 - 1332 sqft";"3300  sqft";2.0;32500000.0;9170000.0
204;14;"The Grand Strand Address";"Hoodi, Hoodi";"Address Maker";"Possession in 2030";"1654 - 1920 sqft";"1556 - 1719 sqft";5.0;11900000.0;16400000.0
205;15;"Pride Altius";"Tumkur Road";"Pride Group";"Possession in 2026";"938 - 975 sqft";"2135 - 2580 sqft";1.0;21500000.0;6070000.0
206;16;"Shivadhanush";"Hoskote";"Sowparnika Projects &amp; Infrastructure Pvt. Ltd.";"Possession in 2027";"2800 - 3310 sqft";"971 - 1562 sqft";0.0;6200000.0;28000000.0
207;17;"DB Lakven Visishta";"Kadugodi";"DB Infra Developers";"Possession in 2024";"1526 - 2129 sqft";"1213 - 1217 sqft";3.0;13900000.0;17500000.0
208;18;"Abhee Srishti Layout";"Anekal";"Abhee Ventures Pvt. Ltd.";"Possession in 2023";"1100 - 1233 sqft";"671 - 900 sqft";3.0;7490000.0;12500000.0
209;19;"Sree Urban Orchids Phase II";"Panathur";"Sree Builders and Developers";"Possession in 2025";"1240 - 1792 sqft";"1089 - 1324 sqft";6.0;6320000.0;7190000.0
210;20;"Sree Urban Orchids Phase II";"Panathur";"Sree Builders and Developers";"Possession in 2025";"1180 - 1260 sqft";"1050 - 6000 sqft";7.0;2600000.0;6860000.0
211;21;"Sree Urban Orchids Phase II";"Panathur";"Sree Builders and Developers";"Possession in 2025";"2200  sqft";"1460 - 1865 sqft";4.0;8540000.0;12800000.0
212;0;"Parleshwar Aangan";"Vile Parle East";"Panom Developers LLP";"Possession in 2025";"676 - 680 sqft";"440 - 450 sqft";5.0;16800000.0;26100000.0
213;1;"Atharv Aaradhyam";"Vile Parle East";"Atharv Infra LLP";"Possession in 2025";"1360  sqft";"900  sqft";8.0;34300000.0;52400000.0
214;2;"Lodha Vero";"Sion";"Lodha Group";"Possession in 2028";"847 - 855 sqft";"678 - 705 sqft";9.0;24400000.0;30400000.0
215;3;"Agastya Signature";"Vikhroli East";"Agastya Developers";"Possession in 2026";"1800  sqft";"1535  sqft";9.0;55600000.0;86000000.0
216;4;"Kabra Garnet";"Malad West";"Kabra Group";"Possession in 2026";"363 - 388 sqft";"2180  sqft";8.0;104000000.0;6430000.0
217;5;"Luma";"Andheri East";"The Dynamix Group";"Possession in 2025";"423  sqft";"614 - 650 sqft";5.0;11500000.0;12000000.0
218;6;"NG Platinum City";"Vasai East";"RNA NG Builders";"Possession in 2024";"828 - 911 sqft";"515 - 690 sqft";9.0;13400000.0;21900000.0
219;7;"Dem Icon";"Charkop Gaon";"DEM Infra";"Possession in 2026";"1122 - 1124 sqft";"624  sqft";9.0;16900000.0;29900000.0
220;8;"Chandak Nostalgia";"Malad West";"Chandak Group";"Possession in 2027";"421  sqft";"435 - 950 sqft";9.0;3500000.0;9280000.0
221;9;"Veena Passcode Everything";"Malad";"Veena Developers";"Possession in 2025";"718 - 744 sqft";"563 - 684 sqft";3.0;13200000.0;19700000.0
222;10;"Shraddha West Residency";"Jogeshwari East";"Shraddha Buildcon Pvt Ltd";"Possession in 2025";"436  sqft";"1019 - 1068 sqft";9.0;27000000.0;12200000.0
223;11;"Nicco Residency";"Jogeshwari East";"Neelkamal Realty &amp; Construction LLP";"Possession in 2026";"923  sqft";"683  sqft";8.0;19100000.0;25900000.0
224;12;"Tricity Natraj";"Chembur";"Tricity Reality Pvt. Ltd.";"Possession in 2025";"772 - 826 sqft";"332 - 335 sqft";10.0;7300000.0;19900000.0
225;13;"Sumit Gurukrishna";"Vile Parle East";"Sumit Woods Pvt. Ltd.";"Possession in 2024";"1671  sqft";"1002 - 1228 sqft";1.0;26000000.0;43200000.0
226;14;"JP North Aviva";"Mira Road East";"JP Infra";"Possession in 2026";"740 - 1110 sqft";"740  sqft";9.0;21800000.0;34800000.0
227;15;"Puri SeleQt";"Andheri East";"PURI CREATORS";"Possession in 2025";"871  sqft";"666 - 714 sqft";9.0;29700000.0;42300000.0
228;16;"Raheja Residency";"Malad East";"K. Raheja Realty";"Possession in 2027";"710 - 860 sqft";"310 - 410 sqft";10.0;5000000.0;21000000.0
229;17;"Marathon Neovalley Narmada Wing B";"Bhandup West";"Marathon Realty Pvt. Ltd.";"Possession in 2028";"730  sqft";"1165 - 1188 sqft";4.0;32000000.0;19500000.0
230;18;"Sunteck Sky Park";"Mira Bhayandar Road";"Sunteck Realty Ltd.";"Possession in 2026";"175  sqft";"247 - 338 sqft";10.0;5000000.0;3200000.0
231;19;"Sunteck Sky Park";"Mira Bhayandar Road";"Sunteck Realty Ltd.";"Possession in 2026";"948 - 1040 sqft";"665 - 702 sqft";4.0;11200000.0;15700000.0
232;20;"Sunteck Sky Park";"Mira Bhayandar Road";"Sunteck Realty Ltd.";"Possession in 2026";"850  sqft";"560 - 710 sqft";7.0;12900000.0;19900000.0
233;0;"Gold Crest";"Kandivali West";"Shraddha Prime Projects LTD";"Possession in 2027";"598  sqft";"406  sqft";3.0;9400000.0;14200000.0
234;1;"Adityaraj Shivraj";"Vikhroli East";"Adityaraj Group";"Possession in 2027";"533  sqft";"397 - 419 sqft";8.0;6900000.0;11000000.0
235;2;"Adityaraj One";"Vikhroli East";"Adityaraj Group";"Possession in 2026";"341 - 512 sqft";"610  sqft";5.0;12000000.0;5990000.0
236;3;"Luxuria";"Mira Road East";"Vihang Group  &amp; Reyanshp Realty LLP";"Possession in 2027";"467  sqft";"620 - 645 sqft";0.0;9200000.0;12500000.0
237;4;"Paranjape Aspire";"Andheri West";"Paranjape Schemes Construction Ltd.";"Possession in 2027";"934  sqft";"630  sqft";2.0;16800000.0;24500000.0
238;5;"Shri Siddhivinayak By DEM";"Kandivali West";"DEM Infra";"Possession in 2026";"832  sqft";"611 - 632 sqft";2.0;14500000.0;25000000.0
239;6;"Sardar Inspire Residency";"Andheri East";"Sardar Realty";"Possession in 2025";"571 - 578 sqft";"418 - 428 sqft";6.0;11000000.0;15100000.0
240;7;"DEM Phoenix";"Malad East";"DEM Infra";"Possession in 2025";"520 - 570 sqft";"320 - 378 sqft";6.0;6720000.0;10900000.0
241;8;"Paranjape Athena";"Bandra East";"Paranjape Schemes Construction Ltd.";"Possession in 2027";"854  sqft";"616  sqft";4.0;25400000.0;34800000.0
242;9;"Palkhi Mrda";"Kandivali East";"Palkhi Realty";"Possession in 2026";"590 - 615 sqft";"692 - 713 sqft";9.0;17000000.0;11500000.0
243;10;"Veena Smart Homes";"Kandivali West";"Veena Developers";"Possession in 2023";"691 - 699 sqft";"415 - 424 sqft";9.0;11400000.0;16900000.0
244;11;"Passcode Mumbai Wants To Know";"Andheri East";"Veena Developers";"Possession in 2025";"890  sqft";"879  sqft";0.0;21000000.0;40000000.0
245;12;"Rustomjee Aden";"Bandra East";"Keysky Realtors Pvt Ltd";"Possession in 2026";"890  sqft";"879  sqft";3.0;21000000.0;40000000.0
246;13;"BLA Business Park ";"Goregaon East";"Elegant Builders and Developers";"Possession in 2026";"890  sqft";"879  sqft";1.0;21000000.0;40000000.0
247;0;"Pride Panorama";"Andheri East";"Pride Group";"Possession in 2025";"658 - 824 sqft";"460 - 622 sqft";6.0;12300000.0;17000000.0
248;1;"Lodha Divino";"Matunga East";"Lodha";"Possession in 2026";"820  sqft";"840 - 928 sqft";7.0;21400000.0;35900000.0
249;2;"VS Royale 22";"Vikhroli East";"VS Developers";"Possession in 2025";"1727  sqft";"1227 - 1331 sqft";10.0;51500000.0;73500000.0
250;3;"Godrej Five Gardens";"Matunga";"Godrej Properties";"Possession in 2028";"599  sqft";"435  sqft";5.0;11000000.0;15000000.0
251;4;"Godrej Bliss";"Kandivali East";"Godrej Properties";"Possession in 2028";"1496  sqft";"1036  sqft";4.0;25000000.0;95000000.0
252;5;"Oxford Navrang Crystal";"Goregaon West";"Oxford Group";"Possession in 2025";"944 - 976 sqft";"688  sqft";10.0;16200000.0;22500000.0
253;6;"Raveshia Aryana Heights";"Ghatkopar East";"Raveshia Realty";"Possession in 2026";"541 - 672 sqft";"636 - 656 sqft";5.0;15200000.0;12800000.0
254;7;"Eastsyde";"Ghatkopar East";"Vaibhavlaxmi Builders &amp; Developers";"Possession in 2024";"657 - 730 sqft";"365  sqft";9.0;8500000.0;16500000.0
255;8;"Promesa Midtown";"Ghatkopar East";"Promesa Realty";"Possession in 2024";"361 - 419 sqft";"305  sqft";1.0;20000000.0;7900000.0
256;9;"Ornate Solitaire";"Dahisar East";"Ornate Universal";"Possession in 2027";"680 - 705 sqft";"598  sqft";1.0;13700000.0;15200000.0
257;10;"Vivan";"Goregaon West";"Goregaon Electrical Industries LLP";"Possession in 2026";"680 - 705 sqft";"598  sqft";6.0;13700000.0;15200000.0
258;11;"Sheetal Regalia";"Borivali East";"DGS Group";"Possession in 2028";"680 - 705 sqft";"598  sqft";4.0;13700000.0;15200000.0
259;12;"Beautiful NL Krishna";"Dahisar East";"NLPL";"Possession in 2025";"680 - 705 sqft";"598  sqft";7.0;13700000.0;15200000.0
260;13;"Meghna Ashraya";"Goregaon East";"Shakti Constructions";"Possession in 2025";"680 - 705 sqft";"598  sqft";1.0;13700000.0;15200000.0
261;0;"Sahyadri Plumeria";"Borhade Wadi";"Sahyadri Landmarks";"Possession in 2026";"993  sqft";"780  sqft";6.0;5800000.0;7900000.0
262;1;"Samrajya";"Pimple Gurav, Pimpri Chinchwad";"Garve Patil Constructions";"Possession in 2026";"1040  sqft";"800  sqft";8.0;8500000.0;11000000.0
263;2;"Godrej Hillside";"Mahalunge";"Godrej Properties";"Possession in 2026";"680  sqft";"458  sqft";0.0;3800000.0;7000000.0
264;3;"5 Maidan by Skyi";"Baner";"Enerrgia Skyi Ventures";"Possession in 2026";"1700 - 1802 sqft";"877 - 950 sqft";6.0;9500000.0;22900000.0
265;4;"Rohan Nidita";"Hinjawadi";"Rohan Builders &amp; Developers Pvt. Ltd.";"Possession in 2026";"751 - 984 sqft";"541 - 642 sqft";7.0;6030000.0;7640000.0
266;5;"Vivencia";"Koregaon Park";"VMond Realty";"Possession in 2026";"890  sqft";"1024 - 1191 sqft";0.0;10300000.0;22500000.0
267;6;"Palladio Kharadi Central";"Kharadi";"Vilas Javdekar Developers";"Possession in 2026";"1552 - 1766 sqft";"1278 - 1323 sqft";6.0;31600000.0;38000000.0
268;7;"Itrend Futura";"Mahalunge";"Saheel Properties &amp; Kohinoor Developers";"Possession in 2028";"1030 - 1080 sqft";"755 - 830 sqft";4.0;10000000.0;15000000.0
269;8;"Gera World of Joy";"Kharadi";"Gera Developments Pvt. Ltd.";"Possession in 2026";"770 - 776 sqft";"1315  sqft";7.0;17500000.0;7850000.0
270;9;"Rohan Abhilasha 3";"Wagholi";"Rohan Builders &amp; Developers Pvt. Ltd.";"Possession in 2027";"714 - 877 sqft";"1115 - 1120 sqft";5.0;11200000.0;7300000.0
271;10;"Mirai Phase I";"Punawale, Pimpri Chinchwad";"GK Associates &amp; Aishwaryam Group";"Possession in 2026";"1550  sqft";"1100 - 1250 sqft";6.0;8800000.0;18100000.0
272;11;"Sentosa Pride";"Punawale, Pimpri Chinchwad";"Sentosa Developers";"Possession in 2026";"776 - 875 sqft";"435  sqft";5.0;3610000.0;6330000.0
273;12;"Lodha Panache";"Hinjawadi";"Lodha";"Possession in 2026";"1020  sqft";"719  sqft";6.0;6000000.0;9000000.0
274;13;"Sense 66";"Talegaon Dabhade";"Tata Value Homes";"Possession in 2026";"1237 - 1277 sqft";"860 - 917 sqft";7.0;6950000.0;9700000.0
275;14;"Lake Bliss";"Kusgaon PM";"Life Reality";"Possession in 2023";"1122 - 1133 sqft";"862 - 875 sqft";9.0;9270000.0;12400000.0
276;15;"Vantage Twenty One";"Pimple Saudagar, Pimpri Chinchwad";"Yashada Realty Group";"Possession in 2024";"878  sqft";"1744  sqft";7.0;20000000.0;11200000.0
277;16;"Address One";"Bibwewadi";"Ram India Group";"Possession in 2026";"3228 - 21520 sqft";"1235  sqft";2.0;16200000.0;4840000.0
278;17;"Gagan Myra";"Kondhwa";"Gagan Developers";"Possession in 2027";"3228 - 21520 sqft";"1235  sqft";4.0;16200000.0;4840000.0
279;18;"BA Swadesha";"Moshi";"Bhandari Associates";"Possession in 2025";"3228 - 21520 sqft";"1235  sqft";4.0;16200000.0;4840000.0
